sex,TL
F,2467.314
F,2500
M,2560
M,2590
M,2600
M,2610
F,2679.218
F,2700
F,2710
F,2710
F,2800
M,2810
F,2950
F,3020
F,3020
F,3050
F,3080
